# Example users for Gitea workshop
# Format: username,email,password,is_admin

# Workshop Participants
#zwq8x,zwq8x@ctfworkshop.com,R3dh4t1!,false
nrp2n,nrp2n@ctfworkshop.com,R3dh4t1!,false
2km75,2km75@ctfworkshop.com,R3dh4t1!,false
79fsf,79fsf@ctfworkshop.com,R3dh4t1!,false
mfm9k,mfm9k@ctfworkshop.com,R3dh4t1!,false
pjp9b,pjp9b@ctfworkshop.com,R3dh4t1!,false
5btrb,5btrb@ctfworkshop.com,R3dh4t1!,false
s76z4,s76z4@ctfworkshop.com,R3dh4t1!,false
hgff5,hgff5@ctfworkshop.com,R3dh4t1!,false
b2vn4,b2vn4@ctfworkshop.com,R3dh4t1!,false
pr9rj,pr9rj@ctfworkshop.com,R3dh4t1!,false
fvgss,fvgss@ctfworkshop.com,R3dh4t1!,false
2dr7d,2dr7d@ctfworkshop.com,R3dh4t1!,false
ccfzr,ccfzr@ctfworkshop.com,R3dh4t1!,false
g5s9z,g5s9z@ctfworkshop.com,R3dh4t1!,false
ck5r9,ck5r9@ctfworkshop.com,R3dh4t1!,false
nqtbt,nqtbt@ctfworkshop.com,R3dh4t1!,false
z8rv4,z8rv4@ctfworkshop.com,R3dh4t1!,false
tn9hz,tn9hz@ctfworkshop.com,R3dh4t1!,false
4hv5v,4hv5v@ctfworkshop.com,R3dh4t1!,false
dcrtf,dcrtf@ctfworkshop.com,R3dh4t1!,false
b5nlj,b5nlj@ctfworkshop.com,R3dh4t1!,false
4s7jd,4s7jd@ctfworkshop.com,R3dh4t1!,false
qztmv,qztmv@ctfworkshop.com,R3dh4t1!,false
tjz7g,tjz7g@ctfworkshop.com,R3dh4t1!,false
5cxmc,5cxmc@ctfworkshop.com,R3dh4t1!,false
